hour_of_day,day_of_week,transport_mode,route_length_meters,danger_spot_count,crowd_density,historical_incident_density,lighting_score,risk_score
20,0,walking,5006,1,0.26,0.74,0.64,76.21
17,0,mixed,7412,0,0.08,0.22,0.8,31.68
0,4,auto,9428,3,0.26,0.59,0.33,83.84
0,6,auto,7424,2,0.31,0.22,0.32,68.13
3,0,bus,2084,2,0.86,0.6,0.33,70.85
23,3,mixed,2545,3,0.12,0.29,0.27,88.29
11,4,auto,1639,0,0.68,0.77,0.99,26.02
7,6,walking,6727,2,0.48,0.83,0.67,68.46
11,1,cab,1669,4,0.65,0.53,0.7,37.8
14,3,cab,9625,1,0.7,0.84,0.91,34.16
7,6,walking,5668,3,0.3,0.21,0.98,48.12
22,2,auto,8679,3,0.89,0.64,0.1,82.62
4,1,mixed,9330,2,0.76,0.43,0.25,86.41
11,1,auto,8848,3,0.14,0.05,0.64,39.15
20,1,bus,1540,3,0.41,1.0,0.56,73.92
17,6,walking,2376,5,0.89,0.75,0.91,64.22
10,0,cab,7623,1,0.48,0.95,0.95,37.84
8,4,auto,8817,0,0.88,0.3,0.86,20.07
19,1,auto,6626,1,0.56,0.78,0.57,58.67
0,4,cab,8505,0,0.16,0.36,0.39,51.26
9,1,walking,4446,4,0.95,0.09,0.79,44.42
2,6,mixed,2560,1,0.68,0.95,0.11,93.38
16,6,mixed,7432,1,0.93,0.76,0.88,45.43
22,2,bus,6618,3,0.9,0.45,0.14,81.06
2,2,walking,9575,1,0.61,0.01,0.3,72.84
1,1,walking,1014,2,0.12,0.24,0.28,84.39
6,4,auto,9855,4,0.5,0.78,0.92,57.24
6,0,walking,7562,2,0.45,0.47,0.89,51.9
21,5,walking,1493,3,0.74,0.8,0.35,90.91
6,1,mixed,7850,1,0.45,0.28,0.7,37.84
2,3,mixed,2104,0,0.67,0.54,0.06,73.43
2,6,auto,3224,3,0.51,0.21,0.19,68.57
1,1,bus,535,3,0.3,0.78,0.21,86.5
13,5,mixed,8473,1,0.23,0.22,0.62,39.6
23,4,walking,5638,0,0.1,0.48,0.37,85.57
16,1,walking,8820,0,0.86,0.07,0.63,22.86
7,3,walking,9833,1,0.6,0.04,0.63,32.1
21,4,mixed,9065,2,0.94,0.2,0.66,53.57
7,2,bus,2644,5,0.66,0.46,0.97,44.29
2,0,bus,9724,0,0.12,0.21,0.14,64.6
11,0,auto,6554,2,0.2,0.83,0.88,50.88
19,6,mixed,628,5,0.83,0.3,0.63,67.91
4,2,walking,2253,5,0.58,0.27,0.26,98.14
22,2,auto,4825,4,0.51,0.91,0.35,92.87
2,5,bus,5033,0,0.05,0.77,0.27,77.04
8,1,bus,9538,5,0.46,0.01,0.63,43.94
22,1,mixed,1090,2,0.6,0.15,0.09,72.36
9,2,walking,6362,1,0.7,0.67,0.74,51.05
17,6,bus,3032,1,0.87,0.98,0.92,40.33
13,0,auto,5942,3,0.81,0.86,0.92,50.23
8,1,walking,6767,0,0.87,0.22,0.93,22.74
14,2,cab,4228,1,0.07,0.19,0.73,23.54
2,6,cab,6253,5,0.53,0.68,0.35,74.42
10,0,walking,4779,1,0.6,0.98,0.62,62.72
19,3,cab,5639,3,0.63,0.51,0.49,51.08
18,1,cab,1227,5,0.46,0.52,0.7,50.51
21,5,auto,6467,3,0.12,0.66,0.47,76.33
10,5,walking,5420,4,0.34,0.41,0.76,65.56
9,4,auto,3643,3,0.68,0.38,0.9,35.61
